Ticker,Report Date,Return on assets,Return on equity,Earnings per share ,Operating profitability ,Accruals,Cash-based operating profitability
CSCO,2018-06-30,0.0236,0.05767,0.56168,17088000000,5480000000,11608000000
CSCO,2018-09-30,0.03496,0.08802,0.81365,17420000000,5894000000,11526000000
CSCO,2018-12-31,0.03366,0.08094,0.77744,17413000000,5511000000,11902000000
CSCO,2019-03-31,0.02754,0.06919,0.63132,17008000000,5364000000,11644000000
CSCO,2019-06-30,0.03129,0.08271,0.69657,17618000000,5847000000,11771000000
CSCO,2019-09-30,0.02256,0.06571,0.51651,18312000000,6429000000,11883000000
CSCO,2019-12-31,0.03164,0.085,0.68912,18044000000,5545000000,12499000000
GOOG,2010-06-30,0.0383,0.04531,5.7798,8808000000,2575000000,6233000000
GOOG,2010-09-30,0.04062,0.05006,6.80127,9473000000,3225000000,6248000000
GOOG,2010-12-31,0.04396,0.05499,7.94822,10953000000,3776000000,7177000000
GOOG,2011-03-31,0.02999,0.03681,5.59207,11418000000,3796000000,7622000000
GOOG,2011-06-30,0.03862,0.04818,7.774,11999000000,4156000000,7843000000
GOOG,2011-09-30,0.0395,0.04977,8.44486,13004000000,4126000000,8878000000
GOOG,2011-12-31,0.03727,0.04652,8.34356,13959000000,5141000000,8818000000
GOOG,2012-03-31,0.03746,0.04683,8.88413,14112000000,4428000000,9684000000
GOOG,2012-06-30,0.03236,0.04303,8.53582,15700000000,8127000000,7573000000
GOOG,2012-09-30,0.02425,0.03199,6.6385,17913000000,8625000000,9288000000
GOOG,2012-12-31,0.03077,0.04024,1.76153,13343000000,9220000000,4123000000
GOOG,2013-03-31,0.0346,0.04433,5.06273,17018000000,7983000000,9035000000
GOOG,2013-06-30,0.0319,0.04094,4.85443,17554000000,8319000000,9235000000
GOOG,2013-09-30,0.02827,0.03579,4.45123,18338000000,8666000000,9672000000
GOOG,2013-12-31,0.02875,0.03653,4.76206,20732000000,10463000000,10269000000
GOOG,2014-03-31,0.02962,0.03764,5.13242,20764000000,8133000000,12631000000
GOOG,2014-06-30,0.02756,0.035,4.9636,21538000000,8816000000,12722000000
GOOG,2014-09-30,0.02178,0.02772,4.04521,22627000000,9490000000,13137000000
GOOG,2014-12-31,0.03556,0.04423,6.76642,24886000000,11240000000,13646000000
GOOG,2015-03-31,0.02635,0.03241,5.16217,23713000000,9971000000,13742000000
GOOG,2015-06-30,0.02456,0.0305,4.98671,24046000000,10948000000,13098000000
GOOG,2015-09-30,0.02758,0.03423,5.79662,25605000000,11249000000,14356000000
GOOG,2015-12-31,0.03339,0.04091,7.16034,29090000000,12869000000,16221000000
GOOG,2016-03-31,0.02809,0.03405,6.11911,27524000000,11359000000,16165000000
GOOG,2016-06-30,0.03161,0.03814,7.10706,28902000000,12157000000,16745000000
GOOG,2016-09-30,0.03164,0.03774,7.3608,30436000000,13400000000,17036000000
GOOG,2016-12-31,0.03184,0.03836,7.73107,34828000000,15657000000,19171000000
GOOG,2017-03-31,0.03141,0.03743,7.84609,33137000000,14108000000,19029000000
GOOG,2017-06-30,0.01973,0.02376,5.09279,34779000000,17459000000,17320000000
GOOG,2017-09-30,0.03552,0.04285,9.70749,36614000000,19424000000,17190000000
GOOG,2017-12-31,-0.01531,-0.0198,-4.34779,42715000000,22751000000,19964000000
GOOG,2018-03-31,0.04543,0.05845,13.53145,41824000000,22469000000,19355000000
GOOG,2018-06-30,0.0151,0.01972,4.59755,43553000000,28189000000,15364000000
GOOG,2018-09-30,0.04149,0.05412,13.21385,44889000000,29549000000,15340000000
GOOG,2018-12-31,0.03844,0.05037,12.87039,52431000000,32836000000,19595000000
GOOG,2019-03-31,0.02713,0.03628,9.58022,48361000000,33243000000,15118000000
GOOG,2019-06-30,0.03869,0.05176,14.33349,51412000000,35283000000,16129000000
GOOG,2019-09-30,0.02687,0.03625,10.20295,54253000000,37545000000,16708000000
GOOG,2019-12-31,0.03868,0.05297,15.49205,61864000000,43313000000,18551000000
INTC,2010-06-30,0.05004,0.06298,0.51896,14019000000,5046000000,8973000000
INTC,2010-09-30,0.04877,0.06195,0.53004,14287000000,5190000000,9097000000
INTC,2010-12-31,0.05028,0.06427,0.57212,14843000000,6185000000,8658000000
INTC,2011-03-31,0.04821,0.06674,0.5796,16574000000,6077000000,10497000000
INTC,2011-06-30,0.0447,0.06063,0.55799,16999000000,5939000000,11060000000
INTC,2011-09-30,0.04916,0.0752,0.66769,18466000000,6484000000,11982000000
INTC,2011-12-31,0.04724,0.07319,0.6609,18240000000,7038000000,11202000000
INTC,2012-03-31,0.03812,0.05855,0.54771,17361000000,5586000000,11775000000
INTC,2012-06-30,0.03907,0.05796,0.56292,18223000000,6349000000,11874000000
INTC,2012-09-30,0.03992,0.06032,0.59488,18131000000,6604000000,11527000000
INTC,2012-12-31,0.02926,0.0482,0.49688,18139000000,7010000000,11129000000
INTC,2013-03-31,0.02461,0.03995,0.4133,17127000000,5142000000,11985000000
INTC,2013-06-30,0.02335,0.03715,0.40177,17562000000,5905000000,11657000000
INTC,2013-09-30,0.03258,0.0532,0.59225,18269000000,6538000000,11731000000
INTC,2013-12-31,0.02842,0.04506,0.52785,18740000000,7113000000,11627000000
INTC,2014-03-31,0.02099,0.03325,0.38802,17730000000,6008000000,11722000000
INTC,2014-06-30,0.03046,0.04719,0.56133,18823000000,6436000000,12387000000
INTC,2014-09-30,0.03661,0.05916,0.67971,19452000000,6628000000,12824000000
INTC,2014-12-31,0.03984,0.06553,0.76767,19832000000,7315000000,12517000000
INTC,2015-03-31,0.02224,0.03627,0.42016,17791000000,5800000000,11991000000
INTC,2015-06-30,0.0299,0.0469,0.56861,18299000000,5952000000,12347000000
INTC,2015-09-30,0.03155,0.05445,0.65494,19370000000,6209000000,13161000000
INTC,2015-12-31,0.03561,0.05915,0.7653,20218000000,6161000000,14057000000
INTC,2016-03-31,0.0194,0.03345,0.43329,19264000000,5817000000,13447000000
INTC,2016-06-30,0.01211,0.02167,0.28124,18774000000,6965000000,11809000000
INTC,2016-09-30,0.0301,0.05352,0.71356,20927000000,7111000000,13816000000
INTC,2016-12-31,0.03143,0.05379,0.75227,21778000000,5940000000,15838000000
INTC,2017-03-31,0.02563,0.04434,0.62757,20244000000,6138000000,14106000000
INTC,2017-06-30,0.023,0.04092,0.59618,19912000000,6838000000,13074000000
INTC,2017-09-30,0.03553,0.06366,0.96331,21068000000,7251000000,13817000000
INTC,2017-12-31,-0.00557,-0.00995,-0.1467,22201000000,6454000000,15747000000
INTC,2018-03-31,0.03464,0.06348,0.95293,21327000000,6533000000,14794000000
INTC,2018-06-30,0.03974,0.07147,1.07679,22108000000,6744000000,15364000000
INTC,2018-09-30,0.04989,0.0895,1.39878,24246000000,6688000000,17558000000
INTC,2018-12-31,0.0406,0.06967,1.14251,23660000000,7446000000,16214000000
INTC,2019-03-31,0.0307,0.05395,0.88468,20976000000,6043000000,14933000000
INTC,2019-06-30,0.03196,0.05576,0.93574,21582000000,7236000000,14346000000
INTC,2019-09-30,0.04478,0.08068,1.36415,23934000000,8029000000,15905000000
INTC,2019-12-31,0.05058,0.08909,1.59875,25185000000,7981000000,17204000000
JNJ,2010-06-30,0.03737,0.06526,1.25118,21734000000,13449000000,8285000000
JNJ,2010-09-30,0.03478,0.05964,1.24182,21348000000,14571000000,6777000000
JNJ,2010-12-31,0.01887,0.03432,0.70824,22806000000,15455000000,7351000000
JNJ,2011-03-31,0.03214,0.05807,1.26935,22967000000,15436000000,7531000000
JNJ,2011-06-30,0.02476,0.04468,1.01295,23694000000,15939000000,7755000000
JNJ,2011-09-30,0.02864,0.05204,1.16989,23018000000,16360000000,6658000000
JNJ,2011-12-31,0.00192,0.00382,0.07991,23868000000,16153000000,7715000000
JNJ,2012-03-31,0.03365,0.06372,1.42862,22799000000,14759000000,8040000000
JNJ,2012-06-30,0.01216,0.0233,0.51248,23206000000,17808000000,5398000000
JNJ,2012-09-30,0.02495,0.04655,1.07638,24203000000,18512000000,5691000000
JNJ,2012-12-31,0.02115,0.0396,0.92621,25550000000,19586000000,5964000000
JNJ,2013-03-31,0.02877,0.05231,1.25332,24512000000,17995000000,6517000000
JNJ,2013-06-30,0.03083,0.05502,1.3642,25199000000,18428000000,6771000000
JNJ,2013-09-30,0.02349,0.04272,1.05805,24931000000,20476000000,4455000000
JNJ,2013-12-31,0.02652,0.04752,1.24854,26683000000,20823000000,5860000000
JNJ,2014-03-31,0.03545,0.06172,1.67221,25129000000,19891000000,5238000000
JNJ,2014-06-30,0.032,0.05543,1.53057,26981000000,20540000000,6441000000
JNJ,2014-09-30,0.03595,0.062,1.68739,25958000000,20867000000,5091000000
JNJ,2014-12-31,0.01934,0.03614,0.90255,26711000000,21393000000,5318000000
JNJ,2015-03-31,0.0336,0.06364,1.5525,24120000000,19791000000,4329000000
JNJ,2015-06-30,0.0342,0.06349,1.62897,25300000000,19290000000,6010000000
JNJ,2015-09-30,0.0252,0.04693,1.21298,24337000000,19583000000,4754000000
JNJ,2015-12-31,0.0241,0.04519,1.16321,26566000000,20743000000,5823000000
JNJ,2016-03-31,0.03272,0.06135,1.61649,24183000000,19018000000,5165000000
JNJ,2016-06-30,0.02859,0.05515,1.45589,25922000000,19828000000,6094000000
JNJ,2016-09-30,0.03043,0.05871,1.56392,24770000000,19787000000,4983000000
JNJ,2016-12-31,0.02701,0.05416,1.40479,26055000000,21603000000,4452000000
JNJ,2017-03-31,0.03051,0.06287,1.63378,24563000000,19764000000,4799000000
JNJ,2017-06-30,0.02504,0.05321,1.42167,26386000000,21663000000,4723000000
JNJ,2017-09-30,0.02418,0.05088,1.40207,27620000000,23315000000,4305000000
JNJ,2017-12-31,-0.0681,-0.17808,-3.99009,29855000000,26631000000,3224000000
JNJ,2018-03-31,0.02788,0.06904,1.62814,27676000000,24385000000,3291000000
